0,0,0,0,0,0,0,0,-9999,0,0.424,270.021362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,270.021362,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,1000,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,1000,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,1000,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,1000,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,1000,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,1000,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,1000,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,1000,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,-9999,0,0.424,180.018387,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
0,0,0,0,0,0,0,0,146.215851,0.105229,5.245214,180.011627,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0
